   	NODE	LAT	LON	LENGTH	AZIMUTH	DISTANCE	RANGE
72	72	59,8945165	30,3902784	87,3951362507169	146,752357977133	4297,66211324409	4098,12337926705
73	73	59,8938666	30,39113	86,6896462369252	146,684449183911	4384,35175948102	4183,38781804496
74	74	59,8937366	30,3912975	17,2538210466325	147,125550531431	4401,60558052765	4200,38782918689
75	75	59,8934102	30,3916938	42,5972967928436	148,657486047491	4444,20287732049	4242,54523176251
76	76	59,8931894	30,3919481	28,4214889888456	149,984327075625	4472,62436630934	4270,76399299888
77	77	59,8929685	30,3921836	27,9190068662497	151,863605818223	4500,54337317559	4298,57990192762
78	78	59,892769	30,3923873	24,9808173733243	152,879507184237	4525,52419054891	4323,50339166225
79	79	59,8925685	30,3925764	24,719293369972	154,681221006311	4550,24348391888	4348,20655737542
80	80	59,8922765	30,3928399	35,7198970808423	155,645488453228	4585,96338099973	4383,92004158852
81	81	59,8919957	30,3930632	33,6890477142668	158,252543991415	4619,65242871399	4417,59734621674
82	82	59,8916957	30,3932812	35,5814233331507	159,972243015714	4655,23385204714	4453,12261921963
83	83	59,8914907	30,3934251	24,2182947720665	160,601605747723	4679,45214681921	4477,2867988281
84	84	59,8897528	30,3946767	205,909063360704	160,136717554412	4885,36121017991	4682,85897354361
85	85	59,8890652	30,3954211	87,2085738085246	151,493344239412	4972,56978398844	4769,68074322944
86	86	59,8817113	30,4044261	962,022379120389	148,437083812495	5934,59216310883	5723,07823061666
87	87	59,8808313	30,405461	113,889172627812	149,454603003923	6048,48133573664	5836,35788708265
88	88	59,880288	30,4061235	70,9946264421432	148,537741111412	6119,47596217878	5906,86052165337
89	89	59,87817	30,4087127	276,959224874924	148,47306223203	6396,43518705371	6181,97173529543
90	90	59,8776639	30,4093805	67,661149929311	146,488296429939	6464,09633698302	6248,90459291557
91	91	59,8774401	30,4096827	30,1354239262971	145,876402086129	6494,23176090932	6278,67227230894
92	92	59,877352	30,4098017	11,8638086556048	145,867848771139	6506,09556956492	6290,39233244675
93	93	59,8767543	30,4105731	79,3774018592252	147,068946401509	6585,47297142415	6369,05760702691
94	94	59,8750576	30,4129632	231,63010431384	144,741203441811	6817,10307573798	6597,31584630175
95	95	59,8729658	30,4158909	284,961047943186	144,914049834553	7102,06412368117	6878,57259362758
96	96	59,8721079	30,4170938	116,941588273514	144,863536748989	7219,00571195469	6994,06440873193
97	97	59,8712914	30,4182363	111,223359837935	144,918260994276	7330,22907179262	7103,96886632282
98	98	59,869941	30,420126	183,957349531874	144,915712024685	7514,18642132449	7285,83065084765
99	99	59,8695993	30,420618	46,9986038693459	144,142160965026	7561,18502519384	7332,2125725475
100	100	59,8693108	30,4210485	40,1833767372844	143,165331305334	7601,36840193112	7371,75934604293
101	101	59,8687656	30,4219189	77,890927862681	141,291637561712	7679,25932979381	7447,94910048786
102	102	59,8675207	30,4240437	182,771817552733	139,410518423593	7862,03114734654	7625,5566929398
103	103	59,8669289	30,4250352	86,2123951667129	139,934447666002	7948,24354251325	7709,59510302879
104	104	59,8666732	30,425466	37,3369036363923	139,776130484698	7985,58044614964	7745,9823538995
105	105	59,8666732	30,425466	0		7985,58044614964	7745,9823538995
